index,smiles,zinc_id,predicted_activity,rank
8830,N#Cc1ccc(N2CCC(Nc3ccncc3C(N)=O)CC2)nc1,97140692,0.999861,1
5266,CCCCn1c(=O)nc(O)c2c(C(C)C)c(C#N)c(N)nc21,24632328,0.99983275,2
18443,COc1cc(/C=N/Nc2ncnc(N)c2[N+](=O)[O-])ccc1O,5446906,0.99981564,3
9622,CN(CCCc1n[nH]c(N)c1C#N)c1ccc(F)cc1[N+](=O)[O-],40468550,0.99974495,4
361,Cc1ccnc(N2CC[C@H](N(C)Cc3nccc(N)n3)C2)c1C#N,372519241,0.99971884,5
3154,Cc1ccnc(N2CC[C@@H](N(C)Cc3nccc(N)n3)C2)c1C#N,372519240,0.99971884,6
7475,Cc1nc([C@@H]2CCO[C@@H]2CN(C)c2ncc(C#N)cc2F)n[nH]1,1775960380,0.9996457,7
4539,CN(CC(=O)Nc1c(O)cccc1F)c1ccc(C#N)cn1,83857613,0.99960893,8
6933,N#Cc1ccccc1OCC(=O)N[C@H]1CCN(c2cccnc2)C1,370807328,0.99958056,9
13158,N#Cc1ccccc1OCC(=O)N[C@@H]1CCN(c2cccnc2)C1,370807329,0.99958056,10
9459,C#CCCC1(CCNC(=O)c2cnccc2C2OCCO2)N=N1,2325900751,0.9995216,11
9677,CCNC(=O)NC(=O)COc1ccc(C(F)(F)F)cc1C#N,69745000,0.9995154,12
17870,CN(c1ncc(C#N)cc1Cl)C1CN(c2cnccn2)C1,1888856870,0.99950814,13
1464,CCCCCCCCCn1c(N)nc2c1c(=O)[nH]c(=O)n2C,8386389,0.9994999,14
19220,C=CCOc1ccccc1C(=O)NCCc1csc(=O)[nH]1,225614174,0.99944717,15
2706,C=CCn1c(C)cc(C(=O)CSc2nc(N)cc(=O)[nH]2)c1C,8573009,0.99941194,16
10580,CN(CCCc1n[nH]c(N)c1C#N)c1ncc(C#N)cc1Cl,71908215,0.9994023,17
18983,Cc1nc(C(=O)N[C@H]2CCO[C@@H]2c2cccnc2)ccc1C#N,275498893,0.999393,18
25694,C[C@H](C#N)C(=O)NC1CN(C(=O)[C@@H]2COCCO2)C1,1759221148,0.99932384,19
29215,C[C@@H](C#N)C(=O)NC1CN(C(=O)[C@@H]2COCCO2)C1,1759221150,0.99932384,20
55935,C[C@@H](C#N)C(=O)NC1CN(C(=O)[C@H]2COCCO2)C1,1759221149,0.99932384,21
67181,C[C@H](C#N)C(=O)NC1CN(C(=O)[C@H]2COCCO2)C1,1759221147,0.99932384,22
285,C=CCNC(=O)COC(=O)c1ccc(C(F)(F)F)cc1N,9750308,0.99932265,23
6335,CCOc1ncccc1NC(=O)CN(C)c1ccc(C#N)cn1,60553967,0.99931526,24
11596,C#CC[C@@H](NC(=O)c1ccccc1OC(F)(F)F)C(N)=O,97033588,0.9993075,25
6817,C#CC[C@H](NC(=O)c1ccccc1OC(F)(F)F)C(N)=O,97033587,0.9993075,26
197,COc1cc(/C=N/NS(=O)(=O)c2ccc(N)cc2)ccc1O,1768698,0.999303,27
492,COc1cc(/C=N\NS(=O)(=O)c2ccc(N)cc2)ccc1O,34629401,0.999303,28
3030,C/C(=N/NS(=O)(=O)c1ccc(N)cc1)c1ccccc1O,17148065,0.9992955,29
1901,C/C(=N\NS(=O)(=O)c1ccc(N)cc1)c1ccccc1O,104326839,0.9992955,30
5042,Cn1ncnc1[C@@H]1COCCN1c1ccc(C#N)cc1[N+](=O)[O-],253419234,0.9992937,31
14446,Cn1ncnc1[C@H]1COCCN1c1ccc(C#N)cc1[N+](=O)[O-],253419230,0.9992937,32
13495,C#CC[C@H](NC(=O)Cc1ccc(OC(F)(F)F)cc1)C(N)=O,89261425,0.9992859,33
1319,C#CC[C@@H](NC(=O)Cc1ccc(OC(F)(F)F)cc1)C(N)=O,89261428,0.9992859,34
18770,N#Cc1ccnc(NC2CCN([C@H]3CCOC3)CC2)c1[N+](=O)[O-],89603446,0.9992725,35
15684,N#Cc1ccnc(NC2CCN([C@@H]3CCOC3)CC2)c1[N+](=O)[O-],89603445,0.9992725,36
8025,Cc1cc(C(=O)NC2CCN(c3ccc(C#N)cn3)CC2)on1,58193634,0.9992478,37
2095,N#Cc1ccc(N2CCC(NC(=O)c3cccnc3)CC2)nc1,58434890,0.99920976,38
2408,N#Cc1cc(N)ccc1Sc1nnc(C(F)(F)F)n1N,78406609,0.99918705,39
28936,C=C(C)[C@@H]1OCC[C@@H]1C(=O)N1CC(NC(=O)C(N)=O)C1,998721874,0.9991605,40
12402,CCOc1ncc(C(=O)N[C@H](C#N)[C@H]2CCOC2)cc1Cl,95395673,0.99915767,41
10446,CCOc1ncc(C(=O)N[C@H](C#N)[C@@H]2CCOC2)cc1Cl,95395671,0.99915767,42
4542,CCOc1ncc(C(=O)N[C@@H](C#N)[C@H]2CCOC2)cc1Cl,95395672,0.99915767,43
12370,CCOc1ncc(C(=O)N[C@@H](C#N)[C@@H]2CCOC2)cc1Cl,95395670,0.99915767,44
13275,C[C@@H]1CN(C2CCOCC2)CCN1C(=O)c1cnccc1C#N,332401824,0.9991474,45
18927,Cc1cc(C(F)(F)F)nn1C/C(N)=N/OC(=O)c1ccco1,36612054,0.9991085,46
17166,O=C(NC1CCN(c2ccc(C(F)(F)F)cn2)CC1)[C@H]1CO1,1875372551,0.9990989,47
